Site ID	Site Name	Parameter	Recorded Date	Aggregated Value	Units	No of Records	Data Source	Status	Quality Description
18593	LAKE HANNA	"Rainfall, total"	1/14/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/15/15	0.13	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/16/15	0.02	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/17/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/18/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/19/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/20/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/21/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/22/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/23/15	0.37	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/24/15	0.35	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/25/15	0.01	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/26/15	0.23	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/27/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/28/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/29/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
18593	LAKE HANNA	"Rainfall, total"	1/30/15	0	In.	96	District- 15 minute	Approved	Good Continuous Records
